refrenc,ID,CVE_ID,repo,owner,hash,language
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,108,CVE-2018-13686,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/PresaleToken,109,CVE-2018-13676,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,110,CVE-2018-13676,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/CIBNLiveInteractiveToken,111,CVE-2018-13187,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,112,CVE-2018-13187,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/ECPoints,113,CVE-2018-13178,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,114,CVE-2018-13178,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/tree/master/SuperCarbonCoinToken,115,CVE-2018-13191,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/BlockChainsSecurity/EtherTokens/blob/master/GEMCHAIN/mint%20integer%20overflow.md,116,CVE-2018-13191,EtherTokens,BlockChainsSecurity,,NULL
https://github.com/nkbai/defcon26/blob/master/docs/Replay%20Attacks%20on%20Ethereum%20Smart%20Contracts.md,117,CVE-2018-10769,defcon26,nkbai,,Go
https://github.com/TEAM-C4B/CVE-LIST/tree/master/CVE-2018-17111,118,CVE-2018-17111,CVE-LIST,TEAM-C4B,,NULL
https://github.com/TEAM-C4B/CVE-LIST/tree/master/CVE-2018-15552,119,CVE-2018-15552,CVE-LIST,TEAM-C4B,,NULL
https://github.com/GreenFoxy/Smart-contract-Vulnerabilities/blob/master/BattleToken.md,120,CVE-2018-17882,Smart-contract-Vulnerabilities,GreenFoxy,,NULL
https://github.com/TEAM-C4B/CVE-LIST/tree/master/CVE-2018-17987,121,CVE-2018-17987,CVE-LIST,TEAM-C4B,,NULL
https://github.com/NexxusUniversity/nexxuscoin/issues/2,122,CVE-2018-18665,nexxuscoin,NexxusUniversity,,C++
https://github.com/n0pn0pn0p/smart_contract_-vulnerability/blob/master/PolyAi.md,123,CVE-2018-18665,smart_contract_-vulnerability,n0pn0pn0p,,NULL
https://github.com/SwftCoins/SwftCoin/issues/1,124,CVE-2018-18666,SwftCoin,SwftCoins,,NULL
https://github.com/n0pn0pn0p/smart_contract_-vulnerability/blob/master/PolyAi.md,125,CVE-2018-18666,smart_contract_-vulnerability,n0pn0pn0p,,NULL
https://github.com/n0pn0pn0p/smart_contract_-vulnerability/blob/master/PolyAi.md,126,CVE-2018-18667,smart_contract_-vulnerability,n0pn0pn0p,,NULL
https://github.com/klenergy/ethereum-contracts/issues/1,127,CVE-2018-18667,ethereum-contracts,klenergy,,JavaScript
https://github.com/TEAM-C4B/CVE-LIST/tree/master/CVE-2018-17071,128,CVE-2018-17071,CVE-LIST,TEAM-C4B,,NULL
https://github.com/TEAM-C4B/CVE-LIST/tree/master/CVE-2018-17968,129,CVE-2018-17968,CVE-LIST,TEAM-C4B,,NULL
https://github.com/TEAM-C4B/CVE-LIST/tree/master/CVE-2018-17877,130,CVE-2018-17877,CVE-LIST,TEAM-C4B,,NULL
https://github.com/n0pn0pn0p/smart_contract_-vulnerability/blob/master/PolyAi.md,131,CVE-2018-17050,smart_contract_-vulnerability,n0pn0pn0p,,NULL
https://github.com/rootclay/Audit-of-smart-contracts/tree/master/0x8810C63470d38639954c6B41AaC545848C46484a,132,CVE-2018-12959,Audit-of-smart-contracts,rootclay,,NULL
https://github.com/hellowuzekai/blockchains/blob/master/overflow3.md,133,CVE-2018-14088,blockchains,hellowuzekai,,NULL
https://github.com/hellowuzekai/blockchains/blob/master/delegatecall.md,134,CVE-2018-14085,blockchains,hellowuzekai,,NULL
